# markerAvrg: average marker throughout entire volume of phantom (including in- and outlets)
# roi1_markerAvrg: average marker in full phantom volume (without in- and outlets)
# roi2_markerAvrg: average marker in 30mm sphere on central axis 11mm away from top
# roi3_markerAvrg: average marker in 30mm sphere on central axis 15mm away from top
# roi4_markerAvrg: average marker in sphere segment cut-off at 41.25 mm from top

#time	markerAvrg	roi1_markerAvrg	roi2_markerAvrg	roi3_markerAvrg	roi4_markerAvrg
0.73	0.00624803	0.00116798	1.5655e-05	1.10351e-05	4.74376e-05
0.74	0.00631938	0.00122208	2.0255e-05	1.43172e-05	5.8182e-05
0.75	0.00639053	0.00127665	2.59908e-05	1.84241e-05	7.08293e-05
0.76	0.00645942	0.00133147	3.30821e-05	2.35201e-05	8.56035e-05
0.77	0.00652827	0.00138663	4.17765e-05	2.97918e-05	0.000102735
0.78	0.00659694	0.00144212	5.23498e-05	3.74487e-05	0.000122459
0.79	0.00666534	0.00149792	6.51064e-05	4.67242e-05	0.000145009
0.8	0.00673346	0.00155399	8.03779e-05	5.78748e-05	0.000170619
0.81	0.00680131	0.00161033	9.8522e-05	7.11802e-05	0.000199515
0.82	0.00686889	0.00166691	0.00011992	8.6942e-05	0.000231915
0.83	0.0069362	0.00172371	0.000144975	0.000105482	0.000268024
0.84	0.00700324	0.0017807	0.000174106	0.000127141	0.000308032
0.85	0.00707	0.00183787	0.000207746	0.000152275	0.000352112
0.86	0.00713649	0.00189519	0.000246336	0.000181253	0.000400416
0.87	0.00720272	0.00195265	0.00029032	0.000214451	0.000453073
0.88	0.00726867	0.00201023	0.000340139	0.000252254	0.000510192
0.89	0.00733436	0.00206792	0.000396227	0.000295044	0.000571855
0.9	0.00739977	0.00212572	0.000459002	0.000343202	0.000638119
0.91	0.00746491	0.0021836	0.000528865	0.0003971	0.000709018
0.92	0.00752978	0.00224155	0.000606189	0.0004571	0.000784561
0.93	0.00759276	0.00229938	0.000691327	0.00052355	0.000864735
0.94	0.0076556	0.0023572	0.000784586	0.000596771	0.000949503
0.95	0.00771822	0.00241501	0.00088624	0.000677062	0.00103881
0.96	0.00778064	0.00247279	0.000996523	0.000764697	0.00113257
