# markerAvrg: average marker throughout entire volume of phantom (including in- and outlets)
# roi1_markerAvrg: average marker in full phantom volume (without in- and outlets)
# roi2_markerAvrg: average marker in 30mm sphere on central axis 11mm away from top
# roi3_markerAvrg: average marker in 30mm sphere on central axis 15mm away from top
# roi4_markerAvrg: average marker in sphere segment cut-off at 41.25 mm from top

#time	markerAvrg	roi1_markerAvrg	roi2_markerAvrg	roi3_markerAvrg	roi4_markerAvrg
0.01	6.74531e-05	2.02914e-42	7.31805e-58	7.35174e-58	1.92449e-55
0.02	0.000134577	4.67773e-36	5.11784e-51	5.09112e-51	1.77566e-48
0.03	0.000201375	7.77212e-33	2.62611e-47	2.6286e-47	8.42354e-45
0.04	0.00026783	8.53431e-31	5.60184e-45	5.65872e-45	1.61439e-42
0.05	0.000333951	3.86634e-29	3.70756e-43	3.75766e-43	9.94904e-41
0.06	0.000399788	1.12981e-27	1.43833e-41	1.45537e-41	3.75049e-39
0.07	0.000465262	1.99172e-26	3.1673e-40	3.1847e-40	8.06537e-38
0.08	0.000530389	2.62652e-25	5.07062e-39	5.0616e-39	1.27601e-36
0.09	0.000595222	2.98413e-24	6.7707e-38	6.71774e-38	1.69875e-35
0.1	0.000659811	2.81316e-23	7.40913e-37	7.29759e-37	1.84718e-34
0.11	0.00072409	2.31539e-22	7.07669e-36	6.91806e-36	1.76237e-33
0.12	0.000787991	1.59539e-21	5.70628e-35	5.52239e-35	1.41453e-32
0.13	0.000851584	9.78548e-21	4.05077e-34	3.88058e-34	1.00087e-31
0.14	0.00091481	5.22743e-20	2.52947e-33	2.39384e-33	6.23936e-31
0.15	0.00097778	2.64489e-19	1.45122e-32	1.35866e-32	3.59052e-30
0.16	0.00104051	1.28753e-18	7.82691e-32	7.25955e-32	1.95473e-29
0.17	0.00110288	5.61322e-18	3.88579e-31	3.56011e-31	9.80191e-29
0.18	0.00116493	2.29558e-17	1.79803e-30	1.62591e-30	4.59295e-28
0.19	0.0012267	8.81735e-17	7.77075e-30	6.92358e-30	2.01349e-27
0.2	0.00128817	3.17792e-16	3.1452e-29	2.75523e-29	8.30582e-27
0.21	0.00134937	1.09324e-15	1.19851e-28	1.02995e-28	3.24677e-26
0.22	0.00141033	3.62857e-15	4.32966e-28	3.64172e-28	1.2129e-25
0.23	0.00147109	1.19474e-14	1.50265e-27	1.23588e-27	4.39134e-25
0.24	0.00153134	3.49315e-14	4.88779e-27	3.89065e-27	1.50851e-24
0.25	0.00159137	9.95887e-14	1.49684e-26	1.14161e-26	4.95085e-24
0.26	0.00165115	2.75695e-13	4.29404e-26	3.08226e-26	1.55644e-23
0.27	0.00171074	7.46681e-13	1.14972e-25	7.53189e-26	4.71729e-23
0.28	0.00176985	1.86448e-12	2.79136e-25	1.54068e-25	1.37206e-22
0.29	0.00182869	4.47087e-12	5.78442e-25	1.99059e-25	3.81896e-22
0.3	0.00188733	1.05619e-11	9.15942e-25	-1.92508e-25	1.02853e-21
0.31	0.00194571	2.42585e-11	2.68412e-25	-2.86059e-24	2.67105e-21
0.32	0.00200378	5.31126e-11	-6.1218e-24	-1.46615e-23	6.68096e-21
0.33	0.00206158	1.14632e-10	-3.49013e-23	-5.75103e-23	1.62529e-20
0.34	0.00211913	2.36716e-10	-1.42144e-22	-2.0027e-22	3.82413e-20
0.35	0.0021764	4.77002e-10	-4.95274e-22	-6.40909e-22	8.73464e-20
0.36	0.00223334	9.38238e-10	-1.5714e-21	-1.92761e-21	1.94161e-19
0.37	0.00228996	1.77632e-09	-4.67577e-21	-5.52702e-21	4.19736e-19
0.38	0.00234655	3.31725e-09	-1.32129e-20	-1.52059e-20	8.84146e-19
0.39	0.00240278	6.03196e-09	-3.57614e-20	-4.03456e-20	1.81819e-18
0.4	0.00245872	1.07014e-08	-9.32442e-20	-1.03626e-19	3.66368e-18
0.41	0.00251432	1.8475e-08	-2.35212e-19	-2.58407e-19	7.2704e-18
0.42	0.00256974	3.1278e-08	-5.76346e-19	-6.27551e-19	1.42189e-17
0.43	0.00262487	5.17492e-08	-1.3743e-18	-1.48626e-18	2.75842e-17
0.44	0.0026798	8.39607e-08	-3.19315e-18	-3.43614e-18	5.368e-17
0.45	0.00273449	1.33465e-07	-7.24831e-18	-7.77204e-18	1.04821e-16
0.46	0.00278888	2.07565e-07	-1.6092e-17	-1.7214e-17	2.06443e-16
0.47	0.00284302	3.16798e-07	-3.49587e-17	-3.73508e-17	4.13799e-16
0.48	0.00289695	4.74904e-07	-7.44379e-17	-7.95082e-17	8.39761e-16
0.49	0.00295066	6.98484e-07	-1.55499e-16	-1.66175e-16	1.71904e-15
0.5	0.00300413	1.01043e-06	-3.18694e-16	-3.4104e-16	3.5551e-15
0.51	0.00305709	1.43179e-06	-6.4164e-16	-6.88041e-16	7.35219e-15
0.52	0.00310991	1.99479e-06	-1.26955e-15	-1.36506e-15	1.51545e-14
0.53	0.00316237	2.745e-06	-2.46944e-15	-2.66429e-15	3.10232e-14
0.54	0.00321469	3.71315e-06	-4.72549e-15	-5.11881e-15	6.27947e-14
0.55	0.00326695	4.95854e-06	-8.8998e-15	-9.68489e-15	1.25339e-13
0.56	0.00331888	6.53609e-06	-1.64997e-14	-1.8049e-14	2.46569e-13
0.57	0.00337064	8.49522e-06	-3.01253e-14	-3.31459e-14	4.77351e-13
0.58	0.00342228	1.09156e-05	-5.41794e-14	-5.99967e-14	9.09289e-13
0.59	0.0034735	1.38346e-05	-9.60103e-14	-1.07074e-13	1.70361e-12
0.6	0.00352445	1.73126e-05	-1.67679e-13	-1.88455e-13	3.13956e-12
0.61	0.0035751	2.13914e-05	-2.88671e-13	-3.2719e-13	5.69249e-12
0.62	0.00362562	2.61647e-05	-4.89918e-13	-5.60443e-13	1.01583e-11
0.63	0.00367592	3.16967e-05	-8.19763e-13	-9.47287e-13	1.78462e-11
0.64	0.00372597	3.80312e-05	-1.35255e-12	-1.58029e-12	3.08766e-11
0.65	0.00377581	4.51952e-05	-2.20055e-12	-2.60229e-12	5.26361e-11
0.66	0.00382538	5.32226e-05	-3.53033e-12	-4.23051e-12	8.84517e-11
0.67	0.0038746	6.21327e-05	-5.5849e-12	-6.79072e-12	1.46535e-10
0.68	0.00392374	7.19822e-05	-8.71089e-12	-1.07634e-11	2.39479e-10
0.69	0.00397265	8.27693e-05	-1.33937e-11	-1.68472e-11	3.86203e-10
0.7	0.0040213	9.44974e-05	-2.02961e-11	-2.6042e-11	6.14852e-10
0.71	0.00406951	0.000107123	-3.03016e-11	-3.97561e-11	9.66666e-10
0.72	0.00411766	0.000120691	-4.45518e-11	-5.994e-11	1.50138e-09
0.73	0.00416539	0.000135128	-6.44602e-11	-8.92426e-11	2.30476e-09
0.74	0.00421305	0.000150453	-9.17073e-11	-1.31206e-10	3.49782e-09
0.75	0.00426056	0.000166654	-1.28169e-10	-1.9048e-10	5.24909e-09
0.76	0.00430773	0.00018367	-1.75663e-10	-2.72985e-10	7.79282e-09
0.77	0.00435477	0.000201487	-2.35548e-10	-3.86089e-10	1.145e-08
0.78	0.00440116	0.000220051	-3.08363e-10	-5.38944e-10	1.66456e-08
0.79	0.00444757	0.000239342	-3.91809e-10	-7.41756e-10	2.39667e-08
0.8	0.00449373	0.000259329	-4.80295e-10	-1.00648e-09	3.41685e-08
0.81	0.00453976	0.000279995	-5.61071e-10	-1.34513e-09	4.8255e-08
0.82	0.00458551	0.000301272	-6.10559e-10	-1.76869e-09	6.75311e-08
0.83	0.00463095	0.000323139	-5.90119e-10	-2.28584e-09	9.36489e-08
0.84	0.0046761	0.000345556	-4.34075e-10	-2.89638e-09	1.28766e-07
0.85	0.00472122	0.000368526	-4.59499e-11	-3.59133e-09	1.75521e-07
0.86	0.00476619	0.000392	7.25891e-10	-4.33813e-09	2.37303e-07
0.87	0.00481085	0.000415953	2.09539e-09	-5.07924e-09	3.18197e-07
0.88	0.00485517	0.000440342	4.38e-09	-5.70632e-09	4.2334e-07
0.89	0.00489947	0.000465169	8.01934e-09	-6.0516e-09	5.5889e-07
0.9	0.00494363	0.000490407	1.36245e-08	-5.85731e-09	7.32296e-07
0.91	0.0049875	0.000516026	2.2029e-08	-4.74474e-09	9.5246e-07
0.92	0.00503105	0.000541998	3.43546e-08	-2.17295e-09	1.22994e-06
0.93	0.00507431	0.000568303	5.20915e-08	2.61222e-09	1.57716e-06
0.94	0.0051173	0.000594921	7.71945e-08	1.06407e-08	2.0086e-06
0.95	0.00516005	0.000621836	1.12199e-07	2.32938e-08	2.54105e-06
0.96	0.00520256	0.000649029	1.60355e-07	4.23951e-08	3.19375e-06
0.97	0.00524485	0.000676486	2.25787e-07	7.03171e-08	3.98867e-06
0.98	0.00528693	0.000704192	3.13678e-07	1.10106e-07	4.95061e-06
0.99	0.00532875	0.000732128	4.30498e-07	1.65641e-07	6.1076e-06
1	0.00537088	0.000760323	5.84148e-07	2.4174e-07	7.49043e-06
1.01	0.00541256	0.000788721	7.84327e-07	3.44409e-07	9.13347e-06
1.02	0.00545377	0.0008173	1.0428e-06	4.81035e-07	1.10745e-05
1.03	0.00549516	0.00084609	1.37357e-06	6.60535e-07	1.33545e-05
1.04	0.00553617	0.00087505	1.79345e-06	8.93717e-07	1.60179e-05
1.05	0.00557728	0.000904198	2.32208e-06	1.19338e-06	1.91123e-05
1.06	0.0056179	0.00093349	2.98261e-06	1.57474e-06	2.26887e-05
1.07	0.0056586	0.000962949	3.80185e-06	2.05559e-06	2.68009e-05
1.08	0.0056996	0.000992593	4.81058e-06	2.65659e-06	3.15055e-05
1.09	0.00573785	0.00102219	6.04395e-06	3.40151e-06	3.6861e-05
1.1	0.00577602	0.00105187	7.54214e-06	4.31774e-06	4.29292e-05
1.11	0.00581406	0.00108162	9.35017e-06	5.4363e-06	4.97731e-05
1.12	0.00585196	0.00111145	1.15184e-05	6.79209e-06	5.74569e-05
1.13	0.00588972	0.00114134	1.41026e-05	8.42423e-06	6.60456e-05
1.14	0.00592735	0.0011713	1.71645e-05	1.03762e-05	7.56048e-05
1.15	0.00596483	0.00120133	2.07712e-05	1.26958e-05	8.61996e-05
1.16	0.00600218	0.00123141	2.49959e-05	1.54357e-05	9.78949e-05
1.17	0.00603939	0.00126155	2.99177e-05	1.86532e-05	0.000110754
1.18	0.00607646	0.00129173	3.56209e-05	2.241e-05	0.000124839
1.19	0.00611339	0.00132197	4.21956e-05	2.67727e-05	0.000140208
1.2	0.00615019	0.00135224	4.97369e-05	3.18123e-05	0.000156919
1.21	0.00618685	0.00138254	5.83445e-05	3.76041e-05	0.000175026
1.22	0.00622337	0.00141287	6.81224e-05	4.42274e-05	0.000194577
