# markerAvrg: average marker throughout entire volume of phantom (including in- and outlets)
# roi1_markerAvrg: average marker in full phantom volume (without in- and outlets)
# roi2_markerAvrg: average marker in 30mm sphere on central axis 11mm away from top
# roi3_markerAvrg: average marker in 30mm sphere on central axis 15mm away from top
# roi4_markerAvrg: average marker in sphere segment cut-off at 41.25 mm from top

#time	markerAvrg	roi1_markerAvrg	roi2_markerAvrg	roi3_markerAvrg	roi4_markerAvrg
0.01	0.000134906	1.38061e-24	4.61473e-34	4.58276e-34	4.86209e-33
0.02	0.00026914	1.19455e-20	1.04646e-29	1.01869e-29	1.91566e-28
0.03	0.000402702	1.04085e-18	1.30004e-27	1.2511e-27	2.91096e-26
0.04	0.00053563	2.53119e-17	4.3888e-26	4.1913e-26	1.00158e-24
0.05	0.00066796	4.05673e-16	9.02154e-25	8.56821e-25	2.04918e-23
0.06	0.000799602	3.69696e-15	1.18157e-23	1.11475e-23	2.59445e-22
0.07	0.000930526	2.68614e-14	1.16131e-22	1.08895e-22	2.45768e-21
0.08	0.00106075	1.61921e-13	9.30589e-22	8.67649e-22	1.89708e-20
0.09	0.0011903	8.37433e-13	6.36053e-21	5.89803e-21	1.24894e-19
0.1	0.0013193	3.85268e-12	3.82463e-20	3.52781e-20	7.24047e-19
0.11	0.00144774	1.62473e-11	2.06964e-19	1.89933e-19	3.78316e-18
0.12	0.00157578	6.26957e-11	1.02402e-18	9.35107e-19	1.80936e-17
0.13	0.00170282	2.09269e-10	4.6513e-18	4.2255e-18	7.91492e-17
0.14	0.00182938	6.44162e-10	1.95306e-17	1.76471e-17	3.19232e-16
0.15	0.00195545	1.85271e-09	7.62764e-17	6.85373e-17	1.19578e-15
0.16	0.00208095	5.00257e-09	2.78817e-16	2.49107e-16	4.18964e-15
0.17	0.0022059	1.2612e-08	9.59385e-16	8.52235e-16	1.38135e-14
0.18	0.00233018	2.9804e-08	3.12293e-15	2.75804e-15	4.30688e-14
0.19	0.00245393	6.63313e-08	9.65767e-15	8.47913e-15	1.27527e-13
0.2	0.00257694	1.39165e-07	2.84745e-14	2.4851e-14	3.59816e-13
0.21	0.00269948	2.78683e-07	8.02942e-14	6.96543e-14	9.70521e-13
0.22	0.00282122	5.29696e-07	2.17139e-13	1.87217e-13	2.50912e-12
0.23	0.00294253	9.65277e-07	5.64551e-13	4.83754e-13	6.2336e-12
0.24	0.00306338	1.69012e-06	1.41437e-12	1.20441e-12	1.49162e-11
0.25	0.00318381	2.85192e-06	3.42148e-12	2.89539e-12	3.44504e-11
0.26	0.00330339	4.63226e-06	8.00731e-12	6.73368e-12	7.69451e-11
0.27	0.00342249	7.27689e-06	1.8161e-11	1.5177e-11	1.66493e-10
0.28	0.00354108	1.10714e-05	3.99828e-11	3.32056e-11	3.4957e-10
0.29	0.00365919	1.63574e-05	8.55713e-11	7.06295e-11	7.13243e-10
0.3	0.00377685	2.35108e-05	1.78276e-10	1.46254e-10	1.41609e-09
0.31	0.003894	3.29248e-05	3.62002e-10	2.95207e-10	2.73922e-09
0.32	0.00401061	4.49944e-05	7.17259e-10	5.81501e-10	5.16823e-09
0.33	0.00412677	6.01096e-05	1.38818e-09	1.11904e-09	9.52105e-09
0.34	0.00424217	7.85851e-05	2.62691e-09	2.10593e-09	1.71426e-08
0.35	0.00435725	0.000100765	4.86474e-09	3.87918e-09	3.01927e-08
0.36	0.00447147	0.000126827	8.82365e-09	7.00009e-09	5.20626e-08
0.37	0.00458514	0.000156929	1.56872e-08	1.23844e-08	8.79592e-08
0.38	0.00469876	0.000191233	2.73563e-08	2.14964e-08	1.45709e-07
0.39	0.00481185	0.000229698	4.68246e-08	3.6633e-08	2.3683e-07
0.4	0.00492439	0.000272234	7.87158e-08	6.13292e-08	3.77932e-07
0.41	0.00503646	0.000318696	1.30039e-07	1.00927e-07	5.92493e-07
0.42	0.00514783	0.000368899	2.11223e-07	1.63352e-07	9.13057e-07
0.43	0.00525888	0.000422632	3.37511e-07	2.60166e-07	1.38388e-06
0.44	0.00536933	0.000479652	5.30792e-07	4.07938e-07	2.06404e-06
0.45	0.00547919	0.000539701	8.21951e-07	6.3002e-07	3.03092e-06
0.46	0.00558857	0.000602525	1.25384e-06	9.58785e-07	4.38415e-06
0.47	0.00569725	0.000667883	1.88493e-06	1.43838e-06	6.24965e-06
0.48	0.00580524	0.000735539	2.79366e-06	2.12808e-06	8.78384e-06
0.49	0.00591242	0.000805256	4.0836e-06	3.10616e-06	1.21777e-05
0.5	0.00601933	0.000876923	5.88933e-06	4.47448e-06	1.66605e-05
0.51	0.00612612	0.000950368	8.38289e-06	6.36352e-06	2.25027e-05
0.52	0.00623221	0.00102538	1.17809e-05	8.93793e-06	3.0018e-05
0.53	0.00633774	0.00110184	1.63517e-05	1.24024e-05	3.95647e-05
0.54	0.00644273	0.00117961	2.24228e-05	1.70076e-05	5.15444e-05
0.55	0.00654717	0.00125859	3.03879e-05	2.30561e-05	6.64002e-05
0.56	0.00665109	0.00133868	4.07128e-05	3.0908e-05	8.46129e-05
0.57	0.00675449	0.00141979	5.39405e-05	4.09853e-05	0.000106695
0.58	0.00685738	0.00150183	7.06943e-05	5.3776e-05	0.000133182
0.59	0.00695975	0.00158471	9.1679e-05	6.9836e-05	0.000164627
0.6	0.00706053	0.00166821	0.00011768	8.97898e-05	0.000201586
0.61	0.00716174	0.00175251	0.000149557	0.000114329	0.00024461
0.62	0.00726175	0.00183734	0.000188239	0.000144208	0.000294232
0.63	0.00736157	0.00192276	0.000234714	0.000180239	0.000350955
0.64	0.00746105	0.0020087	0.000290014	0.000223283	0.000415244
0.65	0.00755984	0.00209506	0.000355201	0.000274239	0.000487511
0.66	0.0076583	0.00218181	0.000431346	0.000334032	0.00056811
0.67	0.0077565	0.00226893	0.000519514	0.000403597	0.00065733
0.68	0.00785437	0.00235636	0.000620741	0.000483867	0.00075539
0.69	0.00795165	0.00244403	0.000736013	0.000575753	0.000862434
0.7	0.00804695	0.00253173	0.000866252	0.000680133	0.000978534
0.71	0.00814203	0.00261953	0.00101229	0.000797829	0.00110369
0.72	0.00823681	0.00270744	0.00117486	0.000929599	0.00123782
0.73	0.00833124	0.00279543	0.00135457	0.00107612	0.0013808
0.74	0.00842528	0.00288348	0.00155193	0.00123797	0.00153242
0.75	0.00851896	0.00297155	0.00176729	0.00141565	0.00169246
0.76	0.00861225	0.00305963	0.00200089	0.00160952	0.00186061
0.77	0.00870516	0.00314769	0.00225283	0.00181986	0.00203656
0.78	0.00879637	0.0032355	0.00252308	0.00204681	0.00221994
0.79	0.00888736	0.00332319	0.0028115	0.00229042	0.0024104
0.8	0.00897803	0.00341072	0.00311784	0.00255064	0.00260755
0.81	0.00906837	0.0034981	0.00344177	0.00282729	0.00281102
0.82	0.0091584	0.00358531	0.00378283	0.00312011	0.00302041
0.83	0.0092481	0.00367237	0.00414054	0.00342875	0.00323534
0.84	0.00933639	0.00375906	0.00451434	0.00375281	0.00345546
0.85	0.00942435	0.00384551	0.0049036	0.00409176	0.0036804
0.86	0.00951197	0.00393169	0.00530767	0.00444505	0.0039098
0.87	0.00959925	0.00401762	0.00572587	0.00481205	0.00414335
0.88	0.0096862	0.00410327	0.00615752	0.00519211	0.00438072
0.89	0.00977281	0.00418866	0.00660192	0.00558454	0.00462163
0.9	0.00985909	0.00427378	0.00705836	0.00598861	0.0048658
0.91	0.00994453	0.00435849	0.00752599	0.00640344	0.00511287
0.92	0.0100296	0.0044429	0.00800428	0.00682841	0.00536269
0.93	0.0101144	0.004527	0.00849255	0.00726276	0.00561504
0.94	0.0101988	0.00461079	0.00899015	0.00770569	0.00586968
0.95	0.0102829	0.00469427	0.00949641	0.00815644	0.00612642
0.96	0.0103666	0.00477744	0.0100107	0.0086142	0.00638507
0.97	0.01045	0.00486029	0.0105324	0.00907819	0.00664544
0.98	0.0105331	0.00494282	0.0110608	0.00954761	0.00690738
0.99	0.0106158	0.00502504	0.0115954	0.0100217	0.00717071
1	0.0106982	0.00510695	0.0121355	0.0104997	0.00743528
1.01	0.0107802	0.00518854	0.0126806	0.0109807	0.00770096
1.02	0.0108619	0.00526981	0.01323	0.0114641	0.00796761
1.03	0.0109433	0.00535076	0.0137832	0.011949	0.0082351
1.04	0.0110243	0.0054314	0.0143395	0.0124347	0.00850331
1.05	0.011105	0.00551172	0.0148984	0.0129205	0.00877213
1.06	0.0111854	0.00559173	0.0154593	0.0134057	0.00904144
1.07	0.0112654	0.00567142	0.0160215	0.0138895	0.00931114
1.08	0.0113451	0.00575079	0.0165846	0.0143712	0.00958115
1.09	0.0114244	0.00582984	0.0171478	0.0148502	0.00985135
1.1	0.0115034	0.00590858	0.0177105	0.0153258	0.0101217
1.11	0.0115821	0.005987	0.0182723	0.0157973	0.010392
1.12	0.0116605	0.0060651	0.0188325	0.0162644	0.0106624
1.13	0.0117385	0.00614289	0.0193904	0.0167262	0.0109326
1.14	0.0118162	0.00622036	0.0199456	0.0171824	0.0112026
1.15	0.0118935	0.00629752	0.0204974	0.0176323	0.0114725
1.16	0.0119705	0.00637436	0.0210453	0.0180757	0.011742
1.17	0.012047	0.0064509	0.0215893	0.0185129	0.0120113
